,Company,Location,Salary,Titles,New Salary,SalaryII,SalaryIII,Avg Salary
11,Corvid,"Charlotte, NC 28202 (Downtown Charlotte area)","[$35,000 - $45,000 a year]",Business Operations Associate,"[u'35,000  45,000 ']",35000.0,45000.0,40000.0
19,Nityo Infotech Services Pvt. Ltd.,"Charlotte, NC","[$110,000 - $130,000 a year]","Machine Learning Developer - Charlotte, NC // FULL TIME","[u'110,000  130,000 ']",110000.0,130000.0,120000.0
26,Prospect Infosys Inc.,"Charlotte, NC","[$100,000 - $180,000 a year]",Sr Quantitative Finance Analyst,"[u'100,000  180,000 ']",100000.0,180000.0,140000.0
33,Principle Solutions Group,"Charlotte, NC 28202 (Downtown Charlotte area)","[$140,000 - $160,000 a year]",Data Scientist,"[u'140,000  160,000 ']",140000.0,160000.0,150000.0
41,Oliver James Associates,"Charlotte, NC","[$110,000 - $120,000 a year]",Senior Data Scientist,"[u'110,000  120,000 ']",110000.0,120000.0,115000.0
49,Department of Agriculture,"Gastonia, NC","[$33,012 - $42,921 a year]",Physical Science Technician,"[u'33,012  42,921 ']",33012.0,42921.0,37966.5
65,"Kennedy Unlimited Inc, Professional Staffing","Charlotte, NC","[$130,000 - $140,000 a year]",Predictive Analytics (Machine Learning),"[u'130,000  140,000 ']",130000.0,140000.0,135000.0
69,"Kennedy Unlimited Inc, Professional Staffing","Charlotte, NC","[$120,000 - $150,000 a year]",Analytics Manager (Machine Learning),"[u'120,000  150,000 ']",120000.0,150000.0,135000.0
79,"Kennedy Unlimited Inc, Professional Staffing","Charlotte, NC","[$140,000 - $165,000 a year]",Data Scientist Data Modeling (Machine Learning Python),"[u'140,000  165,000 ']",140000.0,165000.0,152500.0
81,"Kennedy Unlimited Inc, Professional Staffing","Charlotte, NC","[$140,000 - $155,000 a year]",Quantitative Analyst (Quantitative Research PhD),"[u'140,000  155,000 ']",140000.0,155000.0,147500.0
97,Lighthouse Recruiting,"Charlotte, NC","[$60,000 - $75,000 a year]",Certifying Scientist,"[u'60,000  75,000 ']",60000.0,75000.0,67500.0
764,InfoArmor,"Scottsdale, AZ","[$80,000 - $100,000 a year]","Analyst Research Engineer, Cyber Threat Intelligence","[u'80,000  100,000 ']",80000.0,100000.0,90000.0
780,Maricopa County Community College District,"Phoenix, AZ","[$50,958 - $60,512 a year]",Institutional Research Analyst (Open until Filled),"[u'50,958  60,512 ']",50958.0,60512.0,55735.0
784,State of Arizona,"Phoenix, AZ","[$56,573 - $75,000 a year]",ASSOC SCIENTIST,"[u'56,573  75,000 ']",56573.0,75000.0,65786.5
791,Arizona Health Care Cost Containment System,"Phoenix, AZ","[$39,983 - $55,500 a year]",RESEARCH AND STATISTICAL ANALYST,"[u'39,983  55,500 ']",39983.0,55500.0,47741.5
808,SiteLock,"Scottsdale, AZ","[$50,000 - $55,000 a year]",Web Security Research Analyst,"[u'50,000  55,000 ']",50000.0,55000.0,52500.0
809,"Kennedy Unlimited Inc, Professional Staffing","Phoenix, AZ","[$130,000 - $140,000 a year]",Predictive Analytics (Machine Learning),"[u'130,000  140,000 ']",130000.0,140000.0,135000.0
870,VincentBenjamin,"Scottsdale, AZ","[$80,000 - $110,000 a year]",Embedded Software Engineer,"[u'80,000  110,000 ']",80000.0,110000.0,95000.0
872,Lighthouse Recruiting,"Scottsdale, AZ 85268","[$70,000 - $90,000 a year]","LCMS Technologist / Certifying Scientist, Toxicology","[u'70,000  90,000 ']",70000.0,90000.0,80000.0
1551,YMCA,"Chicago, IL","[$48,000 - $52,000 a year]",Junior Research Analyst,"[u'48,000  52,000 ']",48000.0,52000.0,50000.0
1584,Workbridge Associates,"Chicago, IL","[$65,000 - $80,000 a year]","Data Scientist (Python, R, SQL)","[u'65,000  80,000 ']",65000.0,80000.0,72500.0
1628,Jobspring Partners,"Chicago, IL","[$90,000 - $130,000 a year]",Data Scientist,"[u'90,000  130,000 ']",90000.0,130000.0,110000.0
1630,Huxley Banking & Financial Services,"Chicago, IL","[$80,000 - $100,000 a year]",Data Scientist,"[u'80,000  100,000 ']",80000.0,100000.0,90000.0
1637,Michael Page US,"Chicago, IL","[$65,000 - $90,000 a year]",Data Scientist (NPO Startup),"[u'65,000  90,000 ']",65000.0,90000.0,77500.0
1686,Smith Hanley Associates,"Chicago, IL","[$100,000 - $130,000 a year]",Data Scientist,"[u'100,000  130,000 ']",100000.0,130000.0,115000.0
1727,Workbridge Associates,"Chicago, IL","[$75,000 - $135,000 a year]","Data Scientist (Python, R, AWS, Tableau)","[u'75,000  135,000 ']",75000.0,135000.0,105000.0
1825,Request Technology,"Chicago, IL","[$100,000 - $130,000 a year]",Data Integration Engineer,"[u'100,000  130,000 ']",100000.0,130000.0,115000.0
1865,YMCA,"Chicago, IL","[$40,000 - $43,000 a year]","Assistant, Research Analyst Team","[u'40,000  43,000 ']",40000.0,43000.0,41500.0
1886,"Vivid Technologies, Inc.","Chicago, IL 60606 (Loop area)","[$120,000 - $160,000 a year]",Hadoop Data Scientist/Administrator,"[u'120,000  160,000 ']",120000.0,160000.0,140000.0
1898,Workbridge Associates,"Chicago, IL","[$100,000 - $150,000 a year]",Senior Data Scientist,"[u'100,000  150,000 ']",100000.0,150000.0,125000.0
1899,Workbridge Associates,"Chicago, IL","[$80,000 - $135,000 a year]","Data Scientist (Python, R, AWS, Azure, Spark)","[u'80,000  135,000 ']",80000.0,135000.0,107500.0
1900,Jobspring Partners,"Chicago, IL","[$55,000 - $65,000 a year]",Cloud/Data Engineer (Downtown),"[u'55,000  65,000 ']",55000.0,65000.0,60000.0
1911,Workbridge Associates,"Chicago, IL","[$80,000 - $112,000 a year]","Data Scientist (R, SAS, Python)","[u'80,000  112,000 ']",80000.0,112000.0,96000.0
1968,Workbridge Associates,"Chicago, IL","[$100,000 - $150,000 a year]","Senior Data Scientist (Python, Spark, AWS)","[u'100,000  150,000 ']",100000.0,150000.0,125000.0
2057,All-In Analytics,"Chicago, IL","[$100,000 - $140,000 a year]",Lead Machine Learning Data Scientist,"[u'100,000  140,000 ']",100000.0,140000.0,120000.0
2102,All-In Analytics,"Downers Grove, IL","[$70,000 - $80,000 a year]",Sr. Machine Learning Developer,"[u'70,000  80,000 ']",70000.0,80000.0,75000.0
2112,Jobspring Partners,"Northbrook, IL","[$85,000 - $95,000 a year]",Junior Polyglot Engineer,"[u'85,000  95,000 ']",85000.0,95000.0,90000.0
2129,Lighthouse Recruiting,"Chicago, IL","[$62,000 - $80,000 a year]",Certifying Scientist,"[u'62,000  80,000 ']",62000.0,80000.0,71000.0
2130,All-In Analytics,"Chicago, IL","[$100,000 - $125,000 a year]",Sr. Digital Marketing Analytics Modeler,"[u'100,000  125,000 ']",100000.0,125000.0,112500.0
2159,"CPS, Inc.","Chicago, IL","[$90,000 - $115,000 a year]",PhD Analytical Chemist,"[u'90,000  115,000 ']",90000.0,115000.0,102500.0
2295,The University of Pittsburgh,"Pittsburgh, PA","[$46,644 - $76,440 a year]",Data Scientist,"[u'46,644  76,440 ']",46644.0,76440.0,61542.0
2318,The University of Pittsburgh,"Pittsburgh, PA","[$46,644 - $76,440 a year]",Research Scientist,"[u'46,644  76,440 ']",46644.0,76440.0,61542.0
2344,All-In Analytics,"Pittsburgh, PA","[$53,000 - $98,000 a year]",Senior Statistician,"[u'53,000  98,000 ']",53000.0,98000.0,75500.0
